Name,Alias,Nationality,Designation,Sanction Type,Source
BENEVOLENCE INTERNATIONAL FOUNDATION,"Al Bir Al Dawalia, BIF, BIF-USA, Mezhdunarodnyj Blagotvoritel'nyl Fond","Bangladesh, Sudan, United States, Yemen",Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
Emarat Kavkaz,,"Afghanistan, Pakistan, Russia",Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
GLOBAL RELIEF FOUNDATION,,United States,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
"HANIFA MONEY EXCHANGE OFFICE (BRANCH LOCATED IN ALBU KAMAL, SYRIAN ARAB REPUBLIC)","Hanifa Exchange, Hanifa Money Exchange Office, Hanifah Currency Exchange, Hanifah Exchange Company, Hanifeh Exchange, Hunaifa Office",Syria,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
HARAKAT SHAM AL-ISLAM,"Haraket Sham al-Islam, Sham al-Islam, Sham al-Islam Movement",Syria,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
HARAKAT UL-MUJAHIDIN (HUM),"Al-Faran, Al-Hadid, Al-Hadith, Harakat Ul- Mujahideen, Harakat Ul-Ansar, HUA",Pakistan,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
HILAL AHMAR SOCIETY INDONESIA (HASI),"Indonesia Hilal Ahmar Society for Syria, Yayasan Hilal Ahmar",Indonesia,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
JAISH-I-MOHAMMED,Army of Mohammed,Pakistan,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
JAMA'ATU AHLIS SUNNA LIDDA'AWATI WAL-JIHAD,"Boko Haram, Jama'atu Ahlus-Sunna Lidda'Awati Wal Jihad, Jama'atu Ahlus-Sunnah Lidda'Awati Wal Jihad, Western Education is a Sin",Nigeria,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
JAMAAT-UL-AHRAR,"Ahrar-ul-Hind, Jamaat-e-Ahrar, JUA, Tehrik-e Taliban Pakistan Jamaat ul Ahrar","Afghanistan, Pakistan",Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
JAM'YAH TA'AWUN AL-ISLAMIA,"Jam'iyat Al Ta'awun Al Islamiyya, Jit, Society of Islamic Cooperation",Afghanistan,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
JEMMAH ANSHORUT TAUHID,"Jamaah Ansharut Tauhid, Jama'ah Ansharut Tauhid, JAT, Jemaah Anshorut Tauhid, Jemmah Ansharut Tauhid, Jem'mah Ansharut Tauhid, Laskar 99",Indonesia,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
Jund Al Aqsa,"Sarayat Al Quds, Soldiers of Aqsa, The Soldiers of Aqsa",Syria,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
JUND AL-KHILAFAH IN ALGERIA,"JAK-A, Jund al Khalifa, Jund al-Khalifa fi Ard al-Jazayer, Jund al-Khilafah fi Ard al-Jaza'ir, Soldiers of the Caliphate in Algeria, Soldiers of the Caliphate in the Land of Algeria, Soldiers of the Caliphate of Algeria",Algeria,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
LIBYAN ISLAMIC FIGHTING GROUP,LIFG,Libya,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
MOROCCAN ISLAMIC COMBATANT GROUP,"GICM, Groupe Islamique Combattant Marocain",Morocco,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
Mouvement pour l'Unification et le Jihad en Afrique de l'Ouest (MUJAO),,"Algeria, Mali",Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
MUHAMMAD JAMAL NETWORK,"Abu Ahmed Group, Al-Qaida in Egypt AQE, Jamal Network, MJN, Muhammad Jamal Group","Egypt, Libya, Mali",Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
MUJAHIDIN INDONESIAN TIMUR,"East Indonesia Mujahideen, MIT, Mujahidin Indonesia Barat MIB, Mujahidin Indonesia Timor, Mujahidin of Eastern Indonesia, Mujahidin of Western Indonesia",Indonesia,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
RABITA TRUST,,Pakistan,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
RAJAH SOLAIMAN MOVEMENT,"Rajah Solaiman Islamic Movement, Rajah Solaiman Revolutionary Movement",Philippines,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
REVIVAL OF ISLAMIC HERITAGE SOCIETY,"Al-Furqan Foundation Welfare Trust, Al-Furqan Welfare Foundation, Jamia Ihya ul Turath, Jamiat Ihia Al-Turath Al-Islamiya, Revival of Islamic Society Heritage on the African Continent, RIHS","Afghanistan, Pakistan",Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
SELESELAT AL-THAHAB,"Al Silsilah al Dhahaba, Selselat al Thahab For Money Exchange, Silsalat al Dhab, Silsilah Money Exchange Company, Silsilat Money Exchange Company, Silsilet al Thahab",Iraq,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
TAIBAH INTERNATIONAL-BOSNIA OFFICES,"Al Taibah, Intl., Taibah International Aid Agency, Taibah International Aid Association, Taibah International Aide Association",Bosnia and Herzegovina,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
TEHRIK-E TALIBAN PAKISTAN,"Pakistani Taliban, Tehreek-e-Taliban, Tehrik-e-Taliban, Tehrik-I-Taliban Pakistan, TTP","Afghanistan, Pakistan",Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
THE ARMY OF EMIGRANTS AND SUPPORTERS,"Army of Emigrants and Supporters organization, Battalion of Emigrants and Ansar, Battalion of Emigrants and Supporters, Jaysh al-Muhajirin wal-Ansar JAMWA",Syria,Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
THE ORGANIZATION OF AL-QAIDA IN THE ISLAMIC MAGHREB,"Al Qaida au Maghreb islamique AQMI, AQIM, Le Groupe Salafiste pour La Predication et le Combat GSPC, Salafist Group For Call and Combat","Algeria, Mali, Mauritania, Morocco, Niger, Tunisia",Member of the State Duma of the Russian Federation,Isil (Da'esh) and Al-Qaeda (United Nations Sanctions) (EU Exit) Regulations 2019,uk
