Name,Alias,Nationality,Designation,Sanction Type,Source
Haji Ahmad Jan,,Afghanistan,Minister of Water and Electricity under the Taliban regime,1988 Taliban,Australia
Ahmed Jan Akhund,,Afghanistan,Minister of Water and Electricity under the Taliban regime,1988 Taliban,Australia
Saduddin Sayyed,,Afghan,,1988 Taliban,Australia
Sadudin Sayed,,Afghan,,1988 Taliban,Australia
Sadruddin,,Afghan,,1988 Taliban,Australia
Abdul Jabbar Omari,,Afghanistan,Governor of Baghlan Province under the Taliban regime,1988 Taliban,Australia
Mullah Jabbar,,Afghanistan,Governor of Baghlan Province under the Taliban regime,1988 Taliban,Australia
Muawin Jabbar,,Afghanistan,Governor of Baghlan Province under the Taliban regime,1988 Taliban,Australia
Nurullah Nuri,,Afghan,,1988 Taliban,Australia
Norullah Noori,,Afghan,,1988 Taliban,Australia
Janan Agha,,Afghan,Unknown,1988 Taliban,Australia
Abdullah Jan Agha,,Afghan,Unknown,1988 Taliban,Australia
Dost Mohammad,,Afghan,Governor of Ghazni Province under the Taliban regime,1988 Taliban,Australia
Doost Mohammad,,Afghan,Governor of Ghazni Province under the Taliban regime,1988 Taliban,Australia
Khairullah Khairkhwah,,Afghan,,1988 Taliban,Australia
Mullah Khairullah Khairkhwah,,Afghan,,1988 Taliban,Australia
Khirullah Said Wali Khairkhwa,,Afghan,,1988 Taliban,Australia
Abdul Bari Akhund,,Afghanistan,Governor of Helmand Province under the Taliban regime,1988 Taliban,Australia
Haji Mullah Sahib,,Afghanistan,Governor of Helmand Province under the Taliban regime,1988 Taliban,Australia
Zakir,,Afghanistan,Governor of Helmand Province under the Taliban regime,1988 Taliban,Australia
Walijan,,Afghanistan,Governor of Jawzjan Province under the Taliban regime,1988 Taliban,Australia
Mohammad Hasan Rahmani,,Afghan,Governor of Kandahar Province under the Taliban regime,1988 Taliban,Australia
Gud Mullah Mohammad Hassan,,Afghan,Governor of Kandahar Province under the Taliban regime,1988 Taliban,Australia
Abdul Manan Nyazi,,Afghanistan,,1988 Taliban,Australia
Abdul Manan Nayazi,,Afghanistan,,1988 Taliban,Australia
Abdul Manan Niazi,,Afghanistan,,1988 Taliban,Australia
Baryaly,,Afghanistan,,1988 Taliban,Australia
Baryalai,,Afghanistan,,1988 Taliban,Australia
Abdul Wahed Shafiq,,Afghanistan,Deputy Governor of Kabul Province under the Taliban regime,1988 Taliban,Australia
Mohammad Shafiq Mohammadi,,Afghanistan,,1988 Taliban,Australia
Nazir Mohammad Abdul Basir,,Afghanistan,Acting Governor of Kunduz Province under the Taliban regime,1988 Taliban,Australia
Nazar Mohammad,,Afghanistan,Acting Governor of Kunduz Province under the Taliban regime,1988 Taliban,Australia
Mohammad Eshaq Akhunzada,,Afghanistan,Governor of Laghman Province under the Taliban regime,1988 Taliban,Australia
Mohammad Ishaq Akhund,,Afghanistan,Governor of Laghman Province under the Taliban regime,1988 Taliban,Australia
ZiaurRahman Madani,,Afghanistan,Unknown,1988 Taliban,Australia
Ziaurrahman Madani,,Afghanistan,Unknown,1988 Taliban,Australia
Zaia u Rahman Madani,,Afghanistan,Unknown,1988 Taliban,Australia
Madani Saheb,,Afghanistan,Unknown,1988 Taliban,Australia
Shamsuddin,,Afghanistan,Governor of Wardak Maidan Province under the Taliban regime,1988 Taliban,Australia
