Name,Alias,Nationality,Designation,Sanction Type,Source
MOHAMMAD ALEEM NOORANI,,Afghanistan,"First Secretary, Taliban Consulate General, Karachi,
Pakistan",Taliban,UN
GUL AHMAD HAKIMI,,Afghanistan,"Commercial Attache, Taliban Consulate General, Karachi,
Pakistan",Taliban,UN
HAMDULLAH ALLAH NOOR,,Afghanistan,"Repatriation Attache, Taliban Consulate General, Quetta,
Pakistan",Taliban,UN
JANAN AGHA,Abdullah Jan Agha,Afghanistan,Governor of Faryab Province under the Taliban regime,Taliban,UN
ABDUL BARI AKHUND,Haji Mullah Sahib,Afghanistan,Governor of Helmand Province under the Taliban regime,Taliban,UN
ABDUL WAHED SHAFIQ,,Afghanistan,"Deputy Governor of Kabul Province under the Taliban
regime",Taliban,UN
MOHAMMAD SHAFIQ MOHAMMADI,,Afghanistan,Governor of Khost Province under the Taliban regime,Taliban,UN
MOHAMMAD SHAFIQULLAH AHMADI FATIH KHAN,Mohammad Shafiq Ahmadi,Afghanistan,Governor of Samangan Province under the Taliban regime,Taliban,UN
ABDULHAI SALEK,,Afghanistan,Governor of Uruzgan Province under the Taliban regime,Taliban,UN
NOOR MOHAMMAD SAQIB,,Afghanistan,Chief Justice of Supreme Court under the Taliban regime,Taliban,UN
SHAHABUDDIN DELAWAR,,Afghanistan,Deputy of High Court under the Taliban regime,Taliban,UN
ABDUL MANAN MOHAMMAD ISHAK,,Afghanistan,"First Secretary, Taliban Embassy, Riyadh, Saudi Arabia",Taliban,UN
MOHAMMAD ZAHID,Jan Agha Ahmadzai,Afghanistan,"Third Secretary, Taliban Embassy, Islamabad, Pakistan",Taliban,UN
NAZIRULLAH HANAFI WALIULLAH,Nazirullah Aanafi Waliullah,Afghanistan,"Commercial Attache, Taliban Embassy, Islamabad,
Pakistan",Taliban,UN
NAJIBULLAH MUHAMMAD JUMA,Najib Ullah,Afghanistan,"Consul General, Taliban Consulate General, Peshawar,
Pakistan",Taliban,UN
ABDUL GHAFAR SHINWARI,,Afghanistan,"Third Secretary, Taliban Consulate General, Karachi,
Pakistan",Taliban,UN
ABDUL HAI HAZEM ABDUL QADER,Abdul Hai Hazem,Afghanistan,"First Secretary, Taliban Consulate General, Quetta,
Pakistan",Taliban,UN
AZIZIRAHMAN ABDUL AHAD,,Afghanistan,"Third Secretary, Taliban Embassy, Abu Dhabi, United Arab
Emirates",Taliban,UN
