Name,Alias,Nationality,Designation,Sanction Type,Source
JOINT STOCK COMPANY NEW HOLDING 1,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY NEW DECISIONS 2,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY NEW DECISIONS 3,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY 7TV MEDIA GROUP,OOO 7TV MEDIA GRUPPA,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
JOINT STOCK COMPANY NEW HOLDING 2,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY COMFORT MAX,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY NEW DECISIONS 5,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY LEX PRIME,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY MEDIA 1 MANAGEMENT,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY INFRASTRACTURE HOLDING 3,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY HOLDING CHOOSE RADIO,OOO KHOLDING VYBERI RADIO,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
NEWAY TECHNOLOGIES LIMITED,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY START AERO,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
MAKRO TIM LIMITED LIABILITY COMPANY,MACRO TEAM LTD,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY INFRASTRUCTURE CORPORATION AEON,OOO IK AEON,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
BLIKSEM COMPUTERS & REQUISITES TRADING COMPANY LLC,BLIKSEM COMPUTERS AND REQUISITES TRADING CO LLC,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY INFRASTRACTURE HOLDING 4,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
DAFENG ASIA CO LLC,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY TSRTI,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
JOINT STOCK COMPANY NEW HOLDING 3,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
INTERREGIONAL PUBLIC ORGANIZATION FOR THE PROMOTION OF DOMESTIC TRADITIONS AND CULTURAL HERITAGE VECHE,MOO VECHE,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY INFRASTRACTURE HOLDING 2,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LLC BP INZHINIRING,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY NEW DECISIONS 4,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
JOINT STOCK COMPANY RUSSIAN TITANIUM RESOURCES,JSC RUSTITAN,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
Svetlana Nikolaevna ZAKHAROVA,MOSKVINA NIKOLAYEVNA,Russia,Individual,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY RADIO REKLAMA VOLOGDA,OOO RADIO REKLAMA VOLOGDA,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY MDIKAM EK,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY INVEST GROUP,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
Anatoliy Nikolaevich TKACHUK,TKACHUK,Russia,Individual,RUSSIA-EO14024,USOFAC_SDN
LLC AEON HOLDING DEVELOPMENT,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY SCIENTIFIC AND TECHNICAL CENTER ORION,NTTS ORION OOO,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
LIMITED LIABILITY COMPANY FINANCE DECISIONS,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
Maria Aleksandrovna OSETROVA,ZAKHAROVA,Russia,Individual,RUSSIA-EO14024,USOFAC_SDN
Alexey Alexeyevich NOVIKOV,NOVIKOV,Russia,Individual,RUSSIA-EO14024,USOFAC_SDN
Aleksey Sergeevich BESPROZVANNYKH,BESPROZVANNYKH,Russia,Individual,RUSSIA-EO14024,USOFAC_SDN
Lavrentii Aleksandrovich ZAKHAROV,ZAKHAROV,Russia,Individual,RUSSIA-EO14024,USOFAC_SDN
EAST WEST UNITED BANK SA,None,Unknown,Entity,RUSSIA-EO14024,USOFAC_SDN
